### 2023 40
Districts|AD (NonCholera)|Malaria|ILI|SARI|ALRI <5 Years|B. Diarrhea|Typhoid|CL|AVH (A & E)|Dog Bite
Swat|888|379|2|68|4|7|0|12|19|0
Tank|325|131|80|34|1|24|48|2|6|13
Tor Ghar|47|0|6|0|16|0|2|10|1|9
Upper Kurram|89|266|0|15|435|13|5|34|2|0
Total|10575|5821|2510|1812|1136|444|443|428|338|247

### 2024 10
Districts|AD (NonCholera)|ILI|Malaria|ALRI <5 Years|SARI|Measles|Typhoid|B. Diarrhea|TB|CL
Abbottabad|331|104|3|20|22|1|8|7|8|0
Bajaur|95|29|22|19|25|10|1|2|2|2
Bannu|738|4|886|80|8|8|64|30|28|2
Battagram|77|240|13|0|0|0|0|0|0|2
Buner|186|0|93|78|0|0|3|0|0|0
Charsadda|634|813|316|192|30|40|25|16|0|2
Chitral Lower|94|47|2|60|35|8|10|1|6|5
Chitral Upper|50|3|0|10|6|3|5|0|2|0
D.I. Khan|637|0|82|31|19|12|0|90|32|2
Dir Lower|623|8|418|216|0|79|42|22|16|2
Dir Upper|141|124|3|15|0|5|37|11|28|7
Hangu|145|273|307|36|4|23|8|14|7|12
Haripur|808|540|7|83|29|60|56|6|35|0
Karak|216|68|57|24|0|0|9|69|13|78
Khyber|116|55|14|38|1|11|0|5|9|10
Kohat|58|65|35|6|3|2|2|0|0|2
Kohistan Lower|114|0|0|6|100|7|0|0|0|0
Kohistan Upper|252|35|0|1|0|39|20|10|0|0
Kolai Palas|54|4|0|7|3|3|0|0|0|0
L & C Kurram|0|45|0|0|0|0|0|0|0|0
Lakki Marwat|280|8|95|37|2|8|8|13|26|0
Malakand|248|170|14|29|26|38|3|18|2|33
Mansehra|400|452|0|41|19|3|3|3|18|0
Mardan|508|23|19|652|3|13|0|0|0|0
Mohmand|78|42|75|9|10|18|8|5|0|63
Nowshera|961|42|18|0|10|13|8|38|5|9
Orakzai|8|16|3|0|10|2|0|2|0|0
Peshawar|2195|876|16|190|103|112|77|58|48|23
SD DI Khan|0|0|0|0|0|0|0|0|0|0
SD Peshawar|1|0|0|0|0|0|0|0|0|0
SD Tank|1|0|1|0|0|1|0|2|0|0
Shangla|352|0|183|18|0|4|29|6|66|2
SWA|21|375|20|51|54|10|12|0|1|27
Swabi|640|1321|21|219|112|5|10|19|58|0
Swat|1431|396|6|65|5|16|2|7|30|1
Tank|273|239|80|13|0|1|39|19|9|17
Tor Ghar|40|0|15|3|25|19|3|0|1|14
Upper Kurram|73|222|12|26|390|30|4|12|4|0
Total|12879|6639|2836|2275|1054|604|496|485|454|315

### 2024 11
Districts|AD (NonCholera)|ILI|Malaria|ALRI <5 Years|SARI|B. Diarrhea|Typhoid|TB|Measles|CL
Abbottabad|365|96|0|21|28|2|7|13|5|0
Bajaur|806|12|74|160|85|20|3|4|8|13
Bannu|768|0|1238|35|0|5|104|24|14|0
Battagram|74|250|10|0|0|0|0|0|2|4
Buner|269|0|141|75|0|1|2|3|0|0
Charsadda|640|660|277|131|77|26|30|2|4|0
Chitral Lower|138|46|2|56|25|27|9|6|0|7
Chitral Upper|60|12|4|14|10|5|9|2|0|0
D.I. Khan|770|0|90|13|6|14|0|41|88|0
Dir Lower|626|6|160|125|0|107|22|16|16|4
Dir Upper|212|92|2|22|5|1|33|24|8|6
Hangu|154|309|265|26|14|11|8|5|1|12
Haripur|689|469|7|77|2|68|44|42|6|0
Karak|230|68|58|23|0|0|8|7|74|59
Khyber|181|20|9|73|93|30|3|8|8|11
Kohat|38|64|42|0|8|5|1|0|0|0
Kohistan Lower|78|0|0|4|123|5|0|0|4|0
Kohistan Upper|344|18|0|2|134|13|18|16|4|0
Kolai Palas|52|4|0|1|3|0|0|0|0|0
L & C Kurram|1|30|0|0|0|0|0|0|0|0
Lakki Marwat|272|20|96|40|0|7|9|14|9|3
Malakand|345|122|11|26|21|43|11|5|13|22
Mansehra|492|421|0|38|35|6|10|16|0|0
Mardan|664|42|5|548|1|31|0|12|2|0
Mohmand|94|52|107|10|25|17|15|1|9|105
Nowshera|926|150|60|18|20|15|6|5|37|7
Orakzai|6|16|3|0|0|0|1|0|0|0
Peshawar|1951|770|13|100|94|94|56|31|44|33
SD DI Khan|0|0|0|0|0|0|0|0|1|0
SD Peshawar|0|0|0|0|0|0|0|0|0|0
SD Tank|0|0|4|0|0|0|1|0|0|0
Shangla|223|0|204|17|0|0|10|50|8|2
SWA|48|301|34|78|58|7|8|1|3|14
Swabi|740|1220|17|235|127|6|11|81|19|0
Swat|1320|120|8|45|2|34|0|26|2|0
Tank|422|168|70|9|0|0|39|3|26|10
Tor Ghar|66|0|22|1|10|18|0|1|2|2
Upper Kurram|89|320|0|23|415|22|4|3|7|0
Total|14153|5878|3033|2046|1421|640|482|462|424|314

### 2024 12
Districts|AD (NonCholera)|ILI|Malaria|ALRI <5 Years|SARI|B. Diarrhea|Typhoid|TB|Measles|CL
Abbottabad|412|91|0|19|23|2|8|18|5|0
Bajaur|178|20|48|2|93|8|1|1|2|11
Bannu|746|0|1397|30|0|11|82|29|14|2
Battagram|69|169|10|0|0|0|0|0|1|8
Buner|255|0|138|68|0|0|10|1|2|0
Charsadda|694|627|285|99|17|22|16|0|6|1
Chitral Lower|223|47|4|29|24|24|20|6|8|6
Chitral Upper|88|9|2|6|7|7|4|2|1|0
D.I. Khan|848|0|102|23|6|20|0|45|72|0
Dir Lower|597|0|227|166|0|86|36|17|12|2
Dir Upper|208|91|2|17|4|3|34|25|3|4
Hangu|135|272|272|30|38|8|4|5|3|10
Haripur|697|399|12|25|41|55|42|29|10|0
Karak|199|60|75|27|0|0|9|8|55|76
Khyber|171|86|20|50|11|69|19|10|6|15
Kohat|50|68|43|4|10|6|1|0|0|2
Kohistan Lower|127|0|0|4|0|9|0|0|1|0
Kohistan Upper|362|17|0|3|176|32|15|9|9|0
Kolai Palas|61|0|0|2|6|2|0|0|0|0
L & C Kurram|2|32|0|0|0|2|0|0|0|0
Lakki Marwat|312|3|94|30|0|13|12|18|14|7
Malakand|353|113|6|14|27|40|7|3|11|23
Mansehra|457|378|1|50|12|7|4|19|6|0
Mardan|893|6|8|494|1|19|0|11|6|2
Mohmand|108|64|127|6|23|30|6|2|2|107
Nowshera|1029|127|55|13|14|15|11|11|49|15
Orakzai|16|19|6|0|0|6|0|0|0|0
Peshawar|2023|793|12|127|63|95|71|26|37|20
SD Peshawar|1|0|0|0|0|0|0|0|0|0
SD Tank|8|0|12|0|0|1|1|0|0|2
Shangla|90|0|138|15|0|0|12|4|0|0
SWA|57|252|25|73|46|14|5|0|4|18
Swabi|855|1019|22|144|139|12|17|81|39|0
Swat|1127|288|16|66|6|58|0|26|1|0
Tank|454|125|81|13|0|10|59|5|13|21
Tor Ghar|65|0|18|1|23|17|3|0|1|5
Upper Kurram|87|268|9|20|438|21|3|2|4|0
Total|14057|5443|3267|1670|1248|724|512|413|397|357

### 2024 13
Districts|AD (NonCholera)|ILI|Malaria|ALRI <5 Years|SARI|B. Diarrhea|Typhoid|Measles|TB|CL
Abbottabad|418|73|0|27|25|2|9|4|21|0
Bajaur|147|38|66|5|18|14|1|2|0|9
Bannu|841|12|1375|34|0|17|87|13|22|3
Battagram|87|262|0|0|0|0|0|0|0|0
Buner|236|0|195|68|0|0|0|0|1|0
Charsadda|541|552|341|100|24|8|13|9|0|0
Chitral Lower|178|68|2|39|18|17|27|5|10|6
Chitral Upper|69|11|4|15|5|9|6|0|4|0
D.I. Khan|948|0|122|18|0|16|0|77|33|0
Dir Lower|736|1|249|164|0|107|48|19|25|5
Dir Upper|258|77|1|9|7|4|36|9|16|6
Hangu|128|200|212|7|30|9|4|0|1|2
Haripur|720|452|5|56|19|3|33|7|46|0
Karak|226|27|118|29|0|0|7|83|11|76
Khyber|164|132|43|25|14|44|12|11|10|10
Kohat|59|94|36|7|3|1|1|2|0|0
Kohistan Lower|118|0|0|4|0|3|0|2|1|0
Kohistan Upper|431|10|1|4|20|8|16|3|16|0
Kolai Palas|58|0|0|1|12|3|1|0|0|0
L & C Kurram|5|53|8|0|0|2|0|0|0|0
Lakki Marwat|390|21|101|26|0|10|6|3|13|0
Malakand|391|102|3|32|29|42|11|6|2|29
Mansehra|663|556|1|49|75|7|10|2|11|0
Mardan|549|4|7|365|1|23|2|4|10|1
Mohmand|143|74|128|3|25|15|4|9|0|101
Nowshera|1150|118|60|8|17|15|11|57|5|12
Orakzai|13|20|19|0|0|7|1|0|0|0
Peshawar|2350|622|31|79|69|70|64|29|43|25
SD Peshawar|1|0|0|0|0|0|0|0|0|0
SD Tank|26|0|52|0|0|6|0|0|0|0
Shangla|221|0|133|9|0|2|13|1|21|0
SWA|28|307|30|76|60|11|3|4|0|14
Swabi|922|1053|29|219|90|16|14|28|60|0
Swat|1481|199|19|61|3|72|0|3|20|0
Tank|420|233|102|28|0|0|43|16|6|40
Tor Ghar|56|0|40|8|17|20|2|0|1|3
Upper Kurram|105|277|1|27|353|27|4|6|4|0
Total|15277|5648|3534|1602|934|610|489|414|413|342

### 2024 14
Districts|AD (NonCholera)|ILI|Malaria|ALRI <5 Years|SARI|B. Diarrhea|Typhoid|Measles|TB|Dog Bite
Abbottabad|429|62|1|25|13|3|7|0|8|4
Bajaur|651|38|67|118|87|11|9|29|11|20
Bannu|676|0|1322|24|0|22|110|13|14|2
Buner|267|0|191|0|0|1|0|0|0|9
Charsadda|560|677|250|120|20|16|14|19|1|0
Chitral Lower|198|65|1|34|49|20|29|0|6|1
Chitral Upper|80|8|3|11|6|3|17|0|4|0
D.I. Khan|1178|0|148|24|0|15|0|92|7|0
Dir Lower|728|7|242|126|1|90|43|24|14|7
Dir Upper|35|4|0|9|0|0|0|4|0|0
Hangu|159|191|229|20|12|9|1|7|6|0
Haripur|664|360|7|56|30|43|41|2|48|0
Karak|227|38|54|21|0|0|8|90|10|14
Khyber|222|36|55|92|12|45|31|16|16|28
Kohat|55|48|51|6|7|3|1|2|0|0
Kohistan Lower|83|0|0|4|0|4|0|5|0|0
Kohistan Upper|399|55|1|3|20|5|13|4|15|6
Kolai Palas|75|0|2|1|6|1|2|3|0|0
L & C Kurram|7|18|3|0|0|4|0|0|0|0
Lakki Marwat|552|5|111|48|0|10|7|11|10|10
Malakand|491|115|8|34|10|26|20|22|5|0
Mansehra|11|0|0|0|0|0|0|0|0|0
Mardan|666|7|16|399|0|23|0|5|8|5
Mohmand|176|95|114|0|31|18|6|8|5|3
Nowshera|1337|16|30|0|0|18|7|40|4|2
Orakzai|27|10|21|0|0|10|0|0|0|1
Peshawar|2596|622|22|80|70|118|56|47|35|12
SD Peshawar|0|0|0|0|0|0|0|0|0|0
SD Tank|19|0|40|0|0|5|2|0|0|1
Shangla|275|0|309|15|0|2|26|6|43|54
SWA|35|243|30|89|71|15|9|4|1|7
Swabi|993|1118|34|149|82|13|18|30|75|59
Swat|1348|212|9|74|4|41|0|2|11|35
Tank|268|135|38|8|0|0|54|1|7|0
Tor Ghar|61|0|34|0|13|14|2|0|1|3
Upper Kurram|136|368|23|13|317|46|6|4|4|9
Total|15684|4553|3465|1603|861|654|539|490|369|292

### 2024 15
Districts|AD (Non-Cholera)|ILI|Malaria|ALRI <5 Years|SARI|B. Diarrhea|Typhoid|Measles|Dog Bite|CL
Abbottabad|207|37|3|11|13|4|7|5|3|0
Bajaur|204|7|21|55|3|2|1|6|16|4
Bannu|293|1|496|23|9|19|47|3|1|0
Battagram|1|8|0|0|0|0|0|0|0|0
Buner|126|0|61|0|0|0|0|0|14|0
Charsadda|304|285|66|52|21|14|6|3|0|1
Chitral Lower|86|16|2|7|19|13|15|0|2|3
Chitral Upper|21|4|0|2|7|1|8|0|0|0
D.I. Khan|1423|0|67|17|0|20|0|32|0|0
Dir Lower|369|3|64|58|0|31|3|6|18|0
Dir Upper|140|20|3|9|0|0|32|3|0|4
Hangu|81|96|145|11|6|10|1|5|0|25
Haripur|122|14|0|6|0|0|1|1|0|0
Karak|122|38|30|17|0|0|5|35|18|40
Khyber|42|12|8|5|2|11|4|0|0|1
Kohat|81|43|29|0|8|0|0|0|0|0
Kohistan Lower|31|0|0|3|0|5|0|0|1|2
Kohistan Upper|129|6|0|1|0|1|3|2|3|0
Kolai Palas|24|0|1|0|7|0|4|0|0|0
L & C Kurram|1|0|0|0|0|1|0|0|0|0
Lakki Marwat|273|18|49|14|0|10|2|3|3|0
Malakand|295|0|9|30|24|14|10|0|0|12
Mansehra|332|250|0|119|5|13|8|1|0|0
Mardan|250|3|3|229|0|16|0|1|4|0
Mohmand|111|40|79|5|21|10|2|0|1|29
Nowshera|603|21|8|1|2|9|7|23|1|4
Orakzai|13|10|6|0|0|4|0|0|3|0
Peshawar|980|197|5|23|22|53|24|27|3|15
SD Peshawar|0|0|0|0|0|0|0|0|0|0
SD Tank|23|0|18|0|0|3|0|0|0|0
Shangla|296|0|183|18|0|0|1|4|6|2
SWA|29|7|15|13|7|16|3|0|8|0
Swabi|503|554|14|85|62|5|9|23|3|0
Swat|697|214|5|12|15|45|0|1|48|0
Tank|351|218|37|9|0|0|31|10|0|10
Tor Ghar|30|0|20|0|10|15|2|0|8|2
Upper Kurram|64|339|10|16|320|22|1|6|10|0
Total|8657|2461|1457|851|583|367|237|200|174|154

### 2024 16
Districts|AD (NonCholera)|ILI|Malaria|ALRI <5 Years|SARI|B. Diarrhea|Typhoid|TB|Measles|CL
Abbottabad|507|51|5|22|20|5|5|22|16|0
Bajaur|85|17|18|3|48|11|2|1|0|2
Bannu|776|10|1428|11|0|31|94|31|15|2
Battagram|45|145|0|0|0|0|0|0|0|0
Buner|278|0|178|0|40|0|7|0|2|0
Charsadda|606|680|367|55|68|27|10|0|6|1
Chitral Lower|190|52|10|39|21|25|23|9|5|6
Chitral Upper|78|6|3|7|8|5|13|1|0|0
D.I. Khan|1841|0|194|12|24|38|0|25|59|2
Dir Lower|721|3|304|126|0|65|46|15|14|1
Dir Upper|263|71|4|14|0|1|41|17|4|4
Hangu|117|202|330|0|9|8|1|1|0|5
Haripur|1066|338|8|68|18|158|35|42|3|0
Karak|256|25|75|26|0|0|10|8|46|57
Khyber|208|67|50|12|23|42|48|23|3|12
Kohat|65|38|48|1|3|1|0|0|0|0
Kohistan Lower|83|0|0|4|0|5|0|0|0|0
Kohistan Upper|524|26|0|10|0|33|10|29|3|0
Kolai Palas|84|0|0|14|10|7|8|1|0|0
L & C Kurram|16|57|0|0|0|2|0|0|0|0
Lakki Marwat|600|17|162|11|0|18|7|15|12|2
Malakand|444|101|10|51|11|41|18|1|6|8
Mansehra|567|549|0|37|21|20|13|10|4|0
Mardan|464|0|9|499|0|22|0|4|2|0
Mohmand|140|78|119|3|23|22|4|0|1|90
Nowshera|1495|13|17|5|2|20|10|13|29|11
Orakzai|27|8|12|0|0|4|0|0|1|0
Peshawar|2382|452|23|61|62|95|53|29|37|2
SD Peshawar|2|0|0|0|0|0|0|0|0|0
SD Tank|22|0|46|0|0|5|0|0|0|0
Shangla|325|0|267|142|0|0|12|16|2|3
SWA|65|351|44|105|114|15|17|0|4|42
Swabi|1204|1020|32|126|73|12|7|10|39|0
Swat|1459|291|13|76|14|42|0|15|5|0
Tank|350|219|69|17|0|1|60|6|0|32
Tor Ghar|45|0|31|1|11|13|3|0|2|5
Upper Kurram|141|395|45|20|413|45|5|6|5|0
Total|17541|5282|3921|1578|1036|839|562|350|325|287

### 2024 17
Districts|AD (NonCholera)|ILI|Malaria|ALRI <5 Years|SARI|B. Diarrhea|Typhoid|TB|CL|Measles
Abbottabad|532|57|0|22|26|7|14|18|0|12
Bajaur|205|34|88|3|15|18|0|0|0|5
Bannu|919|4|1569|15|21|33|80|16|0|17
Battagram|50|106|0|0|0|0|0|0|0|0
Buner|438|0|205|0|0|5|6|4|0|0
Charsadda|785|645|486|121|6|27|19|1|0|0
Chitral Lower|243|30|9|32|24|19|15|8|2|2
Chitral Upper|103|6|1|5|8|6|10|2|0|1
D.I. Khan|2098|0|198|3|13|23|0|31|9|74
Dir Lower|936|5|375|144|0|77|52|18|1|19
Dir Upper|383|74|3|15|0|6|42|24|4|1
Hangu|203|342|369|38|30|6|7|2|14|2
Haripur|1231|536|12|50|28|97|28|31|0|10
Karak|283|44|140|22|0|0|7|8|79|45
Khyber|250|34|82|7|23|64|45|14|22|4
Kohat|89|73|94|7|18|0|0|0|0|0
Kohistan Lower|122|0|9|4|0|10|0|0|0|0
Kohistan Upper|290|40|0|6|0|28|24|0|0|1
Kolai Palas|91|0|3|8|12|10|1|1|0|0
L & C Kurram|15|50|0|0|0|3|0|0|0|0
Lakki Marwat|803|40|171|9|0|29|8|15|3|5
Malakand|577|41|9|35|15|40|8|1|28|14
Mansehra|693|637|13|47|61|9|12|6|0|3
Mardan|528|0|11|870|0|17|0|1|0|2
Mohmand|198|56|159|4|31|21|4|4|139|3
Nowshera|1928|79|37|2|15|25|4|14|16|28
Orakzai|45|20|25|0|0|6|0|0|0|0
Peshawar|3927|615|22|37|60|219|75|32|3|45
SD Peshawar|1|0|0|0|0|0|0|0|0|0
SD Tank|21|0|48|0|0|0|0|0|0|0
Shangla|611|0|573|25|0|14|43|83|2|4
SWA|67|486|60|87|160|17|25|0|29|4
Swabi|1349|709|48|344|48|30|16|69|0|36
Swat|1725|181|12|69|13|53|0|17|0|5
Tank|504|125|80|23|0|11|88|8|18|19
Tor Ghar|76|0|63|0|19|18|3|0|5|0
Upper Kurram|120|459|28|14|495|75|4|2|0|9
Total|22439|5528|5002|2068|1141|1023|640|430|374|370

### 2024 18
Districts|AD (NonCholera)|ILI|Malaria|SARI|ALRI <5 Years|B. Diarrhea|Typhoid|TB|Measles|Dog Bite
Abbottabad|518|43|4|16|15|4|17|12|16|4
Bajaur|145|30|85|312|55|211|10|9|10|21
Bannu|763|0|1316|19|19|35|73|33|23|1
Battagram|96|254|0|0|0|0|0|0|0|0
Buner|338|0|216|0|0|0|7|2|0|4
Chitral Lower|178|25|3|23|25|12|25|4|2|15
Chitral Upper|78|5|3|4|4|4|17|1|1|1
D.I. Khan|2208|0|258|0|3|33|4|38|88|1
Dir Lower|890|0|324|0|159|55|56|20|8|10
Dir Upper|346|71|8|0|5|6|28|20|7|0
Hangu|6|5|11|0|0|0|1|0|0|0
Haripur|1206|233|17|39|66|32|33|15|16|0
Karak|277|16|136|0|14|0|9|11|41|26
Khyber|265|44|126|9|14|48|50|14|2|30
Kohat|65|51|66|7|2|3|4|0|0|2
Kohistan Lower|108|0|1|0|4|6|0|0|2|0
Kohistan Upper|482|66|3|8|14|31|39|39|0|0
Kolai Palas|64|0|6|4|17|3|4|0|0|0
L & C Kurram|6|44|6|0|0|3|1|0|0|0
Lakki Marwat|717|30|129|0|5|23|5|17|6|20
Malakand|621|48|12|8|36|61|12|4|20|0
Mansehra|599|825|3|23|53|12|20|13|3|48
Mardan|477|0|5|0|308|18|0|8|0|1
Mohmand|199|81|141|31|6|48|9|2|3|6
Nowshera|2007|57|60|7|0|16|4|13|22|5
Orakzai|45|15|25|0|0|4|1|1|0|0
Peshawar|3990|776|40|73|67|211|51|30|41|4
SD Peshawar|1|0|2|0|0|0|0|0|0|0
SD Tank|18|0|35|0|0|0|0|0|0|0
Shangla|307|0|318|0|8|2|16|38|3|27
SWA|62|261|77|136|71|21|24|0|0|3
Swabi|1487|950|39|94|113|12|11|58|36|16
Swat|1811|90|14|12|56|80|0|17|1|73
Tank|185|2|37|0|0|0|1|0|1|0
Tor Ghar|62|0|32|6|0|20|7|2|0|9
Upper Kurram|104|286|23|573|59|25|14|3|6|14
Total|20731|4308|3581|1404|1198|1039|553|424|358|341

### 2025 31
Districts|AD (noncholera)|Malaria|ILI|Dog Bite|B. Diarrhea|SARI|Typhoid|ALRI < 5 years|CL|TB
Abbottabad|1957|0|77|25|14|0|15|12|0|12
Bajaur|963|399|0|105|92|36|4|5|21|15
Bannu|747|1345|0|5|12|2|95|5|0|22
Battagram|918|110|675|12|6|2|5|4|1|26
Buner|422|305|0|0|0|0|8|0|0|0
Charsadda|3054|407|1178|11|98|125|79|268|0|8
Chitral Lower|994|11|27|8|25|9|2|14|8|3
Chitral Upper|225|11|14|6|6|19|14|4|0|1
D.I. Khan|1849|445|0|63|28|0|3|7|2|26
Dir Lower|2539|164|0|78|89|0|49|9|0|7
Dir Upper|3111|13|18|31|42|0|22|40|1|2
Hangu|167|116|73|0|2|0|3|0|25|0
Haripur|1372|0|12|21|0|0|0|6|0|0
Karak|621|197|77|91|7|0|8|19|200|7
Khyber|1105|1566|44|46|125|342|82|139|58|18
Kohat|1206|207|3|31|31|2|19|0|18|0
Kohistan Lower|185|2|3|0|14|0|0|0|0|0
Kohistan Upper|241|8|0|1|26|0|1|0|0|0
Kolai Palas|102|1|12|0|11|0|3|2|0|0
L & C Kurram|5|6|2|0|8|0|1|0|0|0
Lakki Marwat|920|429|0|70|7|0|12|0|0|7
Malakand|1245|34|28|0|0|0|27|0|5|0
Mansehra|992|6|150|0|3|0|14|0|0|1
Mardan|1464|123|8|79|19|0|21|19|1|1
Mohmand|331|266|84|8|23|151|4|2|48|3
North Waziristan|147|130|6|1|11|0|21|9|1|1
Nowshera|2735|350|29|7|21|9|37|5|15|28
Orakzai|144|44|4|6|10|0|0|0|0|0
Peshawar|5617|127|315|11|174|26|178|14|0|16
SD Tank|25|8|1|0|3|0|2|0|0|0
Shangla|2961|871|0|82|11|0|23|8|0|84
SW (L)|50|44|52|0|0|0|6|3|0|13
SW(U)|65|44|28|0|2|10|0|9|2|0
Swabi|2098|85|563|236|26|59|56|58|0|29
Swat|6203|68|89|132|72|9|23|55|0|16
Tank|658|184|39|1|16|0|1|5|0|5
Tor Ghar|134|84|2|9|36|21|5|0|0|7
Upper Kurram|255|17|93|6|48|52|11|5|0|2
Total|47827|8227|3706|1182|1118|874|854|726|406|360

### 2025 32
Districts|AD (NonCholera)|Malaria|ILI|SARI|B. Diarrhea|Dog Bite|ALRI < 5 years|Typhoid|TB|CL
Abbottabad|2057|1|84|5|29|15|16|13|18|0
Bajaur|998|375|0|34|77|56|5|0|10|7
Bannu|1013|1827|0|0|19|5|6|78|12|0
Battagram|768|130|671|4|8|13|NR|2|39|NR
Buner|497|345|0|0|0|10|0|6|2|0
Charsadda|2882|516|1366|190|101|22|308|60|14|0
Chitral Lower|1112|25|14|14|21|17|18|7|3|8
Chitral Upper|280|9|40|10|10|6|7|17|2|2
D.I. Khan|2169|1045|0|0|48|58|2|5|13|2
Dir Lower|2461|104|0|0|114|33|8|38|1|4
Dir Upper|2468|12|17|0|34|11|81|12|3|3
Hangu|205|87|76|0|0|0|43|10|0|18
Haripur|1391|0|11|0|0|29|14|0|0|0
Karak|949|362|58|0|16|85|14|7|10|201
Khyber|876|833|50|437|142|38|115|133|45|39
Kohat|1288|310|8|3|33|35|3|16|0|9
Kohistan Lower|211|7|0|0|9|3|0|0|1|4
Kohistan Upper|282|9|0|0|23|2|0|3|0|0
Kolai Palas|114|0|0|0|6|0|0|0|2|0
L & C Kurram|38|23|17|71|11|0|3|11|0|0
Lakki Marwat|1053|565|0|0|8|76|2|18|5|0
Malakand|1364|45|30|0|0|0|0|20|3|3
Mansehra|1113|7|111|0|0|0|0|0|1|0
Mardan|1397|149|3|0|22|10|9|15|6|0
Mohmand|239|353|107|187|31|18|2|6|3|42
North Waziristan|109|149|0|11|19|1|9|19|3|14
Nowshera|3237|369|47|3|30|17|3|31|22|13
Orakzai|164|44|10|0|8|7|0|0|0|0
Peshawar|5213|112|465|0|109|22|24|170|24|2
SD Tank|22|13|3|0|7|0|0|3|0|0
Shangla|2727|583|0|0|19|79|7|25|73|0
South Waziristan (Lower)|68|87|89|8|0|10|26|10|8|7
South Waziristan (Upper)|66|122|19|5|9|0|6|10|0|0
Swabi|2033|86|515|60|31|207|57|60|35|0
Swat|5118|83|121|0|24|146|112|5|19|0
Tank|718|273|43|0|10|4|10|5|6|0
Tor Ghar|157|81|4|27|38|8|2|6|2|2
Upper Kurram|264|21|103|42|38|7|5|10|5|0
Total|47121|9162|4082|1111|1104|1050|917|831|390|380

### 2025 33
Districts|AD (noncholera)|Malaria|ILI|Dog Bite|B. Diarrhea|Typhoid|ALRI < 5 years|SARI|CL|AVH (A & E)
Abbottabad|1537|4|78|49|10|31|12|5|0|0
Bajaur|727|272|0|80|65|4|2|23|10|6
Bannu|852|1391|5|2|17|74|9|4|0|0
Battagram|636|105|524|8|6|17|0|2|0|0
Buner|320|217|0|0|0|0|0|0|0|0
Charsadda|2639|512|1197|12|87|64|208|84|0|52
Chitral Lower|1146|28|16|15|26|8|13|8|17|3
Chitral Upper|346|9|36|5|6|28|8|17|0|3
D.I. Khan|2024|920|0|23|25|6|3|0|2|0
Dir Lower|1909|154|0|29|87|37|6|0|6|13
Dir Upper|2745|17|13|13|55|18|94|0|2|2
Hangu|149|116|82|1|0|1|80|0|25|0
Haripur|1095|0|6|10|0|0|18|0|0|0
Karak|770|348|51|51|20|5|24|0|221|8
Khyber|891|979|39|84|137|129|43|5|38|20
Kohat|899|228|0|25|23|22|0|1|2|3
Kohistan Lower|166|1|0|0|16|1|3|3|0|0
Kohistan Upper|216|6|1|0|21|5|6|13|0|0
L & C Kurram|40|11|2|5|4|18|2|27|0|0
Lakki Marwat|1003|584|0|73|6|15|1|0|0|0
Malakand|1307|48|32|0|0|21|0|0|0|61
Mansehra|1369|8|161|0|3|12|0|0|0|2
Mardan|1500|182|140|210|46|19|35|0|1|0
Mohmand|230|307|105|18|30|5|2|219|48|1
North Waziristan|77|143|0|4|25|21|15|7|3|0
Nowshera|2684|334|16|6|33|21|21|5|1|24
Orakzai|114|22|5|6|11|0|0|0|0|0
Peshawar|4302|96|231|16|90|132|12|1|2|5
Shangla|1527|670|0|33|10|18|0|0|0|0
South Waziristan (Lower)|70|83|89|20|1|9|19|20|15|0
South Waziristan (Upper)|36|82|14|0|1|10|3|0|8|0
Swabi|534|55|469|163|6|34|42|54|0|14
Swat|4564|53|70|106|46|37|39|0|0|8
Tank|560|257|35|0|5|0|5|0|0|0
Tor Ghar|115|67|0|10|25|3|7|16|2|2
Upper Kurram|162|13|66|5|33|13|4|36|0|0
Total|39261|8322|3483|1082|976|838|736|550|403|227

### 2025 34
Districts|AD (NonCholera)|Malaria|ILI|B. Diarrhea|ALRI < 5 years|Dog Bite|Typhoid|SARI|CL|AVH (A & E)
Abbottabad|1602|1|9|12|12|26|22|3|0|0
Bajaur|1056|446|57|100|2|74|5|46|10|25
Bannu|969|1646|5|23|6|2|115|1|0|8
Battagram|812|154|587|5|6|10|5|3|NR|NR
Buner|398|307|0|0|0|31|6|0|0|3
Charsadda|2617|518|1257|106|217|16|77|90|0|56
Chitral Lower|1124|37|24|24|14|19|7|13|8|0
Chitral Upper|305|8|38|16|24|1|13|12|0|1
D.I. Khan|2001|706|0|18|0|27|4|0|0|0
Dir Lower|2031|183|1|99|11|23|37|0|0|14
Dir Upper|2224|13|29|31|59|13|10|0|0|5
Hangu|230|165|80|18|72|0|6|0|21|0
Haripur|1377|0|21|0|6|31|0|0|0|0
Karak|816|323|41|16|18|39|4|0|174|7
Khyber|1032|715|65|155|195|80|110|14|61|15
Kohat|951|344|0|31|0|40|24|1|15|2
Kohistan Lower|223|1|5|2|3|0|0|0|0|0
Kohistan Upper|319|11|0|33|0|4|0|0|0|1
Kolai Palas|97|3|10|9|2|0|2|2|0|0
L & C Kurram|11|12|5|29|0|0|1|0|0|0
Lakki Marwat|1034|605|0|7|0|75|16|0|0|0
Malakand|1600|26|37|0|0|1|18|0|6|102
Mansehra|1264|9|158|1|0|0|34|0|0|1
Mardan|1475|263|3|73|37|18|22|0|0|0
Mohmand|215|355|71|31|1|10|14|200|59|1
North Waziristan|45|109|0|24|42|1|24|15|2|0
